,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SRITYS,,,,,,,,,,,,,,,,,,Viso
Duomenys,,,Bendrosios gyventojų kultūros ugdymo sritis,,,,Socialinų paslaugų plėtros sritis,,Fizinio aktyvumo irsporto plėtojimo sritis,,,Jaunimo įgalinimo ir vaikų užimtumo sritis,,Nevyriasybinių organizacijų stiprinimo sritis,"Paveldosaugos, investicijų ir turizmo paslaugų plėtojimo sritis",,,
,,,Profesionaliojo meno ir kultūros prieinamumo visuomenei didinimas,Etnografinių tradicijų tęstinumas ir daugiakultūrio dialogo stiprinimas,Valstybės atkūrimo šimtmečio paminėjimas,Kūrybiško laisvalaikio ir užimtumo skatinimas,"Specialistų, dirbančių pagal Globėjų ir įtėvių mokymo ir konsultavimo programą, paslaugų ir (ar) jas papildančių paslaugų globėjams ir įtėviams plėtra",Bendruomeninio tipo socialinių paslaugų teikimo skatinimas,Vaikų ir jaunimo sporto meistriškumo skatinimas,"Kauno, kaip sporto miesto, įvaizdžio gerinimas",Aktyvaus laisvalaikio ir fizinio aktyvumo veiklų organizavimas,"Kauno, kaip aktyvaus jaunimo miesto, įvaizdžio gerinimas",Vaikų ir moksleivių užimtumo organizavimas,,Kultūros paveldo objektų išsaugojimas,Miesto architektūrinio ir urbanistinio įvaizdžio gerinimas,"Miesto investicinio patrauklumo didinimas, atvykstamojo ir vietinio turizmo skatinimas",
GAUTI PROJEKTAI,Paraiškos,Gautų ir užregistruotų paraiškų skaičius (faktas),64,23,18,17,2,31,17,26,66,22,54,30,2,2,3,377
,,Gautų ir užregistruotų paraiškų skaičius po perkėlimų tarp prioritetų,63,21,18,19,2,31,14,21,74,22,54,30,2,2,3,376
,,Atmestų paraiškų skaičius po administracinės atitikties ir tinkamumo vertinimo,8,4,5,5,0,5,5,3,11,4,5,2,1,0,2,60
,,Naudos ir kokybės vertinimui perduotų paraikšų skaičius,48,17,13,14,2,26,12,18,63,18,49,28,1,2,1,312
,,Finansuotų projektų skaičius,38,10,5,10,2,20,12,17,59,13,31,5,1,2,1,226
,,Nefinansuotų projektų skaičius,10,7,8,4,0,6,0,1,4,5,18,23,0,0,0,86
,Lėšos,Projektams skirta finansavimo suma,"1.405.539,00","26.909,00","61.000,00","35.843,00","12.540,00","235.060,00","78.205,00","2.925.190,00","472.500,00","61.553,00",155963,"8.860,00","205.000,00","89.289,00","735.647,00","6.509.098,00"
,,Bendra sričiai skirta suma,1606000,,,,279000,,3700000,,,80000,188000,110000,228000,120000,736000,
,,Sutaupytų lėšų suma,76709,,,,31400,,224105,,,447,32037,40000,23000,307111,353,
